M,N,K
1,10240,4096
32,10240,4096
64,10240,4096
128,10240,4096
256,10240,4096
512,10240,4096
1024,10240,4096
2048,10240,4096
4096,10240,4096
8192,10240,4096
16384,10240,4096
32768,10240,4096
1,10240,8192
32,10240,8192
64,10240,8192
128,10240,8192
256,10240,8192
512,10240,8192
1024,10240,8192
2048,10240,8192
4096,10240,8192
8192,10240,8192
16384,10240,8192
32768,10240,8192
1,10240,16384
32,10240,16384
64,10240,16384
128,10240,16384
256,10240,16384
512,10240,16384
1024,10240,16384
2048,10240,16384
4096,10240,16384
8192,10240,16384
16384,10240,16384
32768,10240,16384
1,57344,4096
32,57344,4096
64,57344,4096
128,57344,4096
256,57344,4096
512,57344,4096
1024,57344,4096
2048,57344,4096
4096,57344,4096
8192,57344,4096
16384,57344,4096
32768,57344,4096
1,57344,8192
32,57344,8192
64,57344,8192
128,57344,8192
256,57344,8192
512,57344,8192
1024,57344,8192
2048,57344,8192
4096,57344,8192
8192,57344,8192
16384,57344,8192
32768,57344,8192
1,57344,16384
32,57344,16384
64,57344,16384
128,57344,16384
256,57344,16384
512,57344,16384
1024,57344,16384
2048,57344,16384
4096,57344,16384
8192,57344,16384
16384,57344,16384
32768,57344,16384
1,4096,4096
32,4096,4096
64,4096,4096
128,4096,4096
256,4096,4096
512,4096,4096
1024,4096,4096
2048,4096,4096
4096,4096,4096
8192,4096,4096
16384,4096,4096
32768,4096,4096
1,8192,8192
32,8192,8192
64,8192,8192
128,8192,8192
256,8192,8192
512,8192,8192
1024,8192,8192
2048,8192,8192
4096,8192,8192
8192,8192,8192
16384,8192,8192
32768,8192,8192

