token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,block_m,ksplit,us,tag,err
1,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,16,0,40.0747500000002,fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf3,0.0%
2,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,16,0,60.16563000000009,fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf3,0.0%
4,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,16,0,88.16616000000002,fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf2,0.0%
8,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,16,0,120.46905999999998,fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3,0.0%
16,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,16,0,120.98667000000005,fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_3tg_pf2,0.0%
32,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,16,0,121.98149000000001,fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3,0.0%
64,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,32,0,139.00152999999992,fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf3,0.0%
128,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,48,0,146.82197999999994,fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf3,0.0%
256,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,80,0,210.68826000000016,fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf2,0.0%
512,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,48,0,326.31386999999984,fmoe_stage1_bf16_pertokenFp8_g1u1_48x256_pf3,0.0%
1024,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,64,0,578.0656900000006,fmoe_stage1_bf16_pertokenFp8_g1u1_64x256_pf3,0.0%
1536,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,48,0,885.7936400000006,fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf2,0.0%
2048,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,80,0,1134.012639999999,fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf2,0.0%
3072,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,64,0,1656.7198199999996,fmoe_stage1_bf16_pertokenFp8_g1u1_64x256_pf3,0.0%
4096,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,80,0,2164.1758900000023,fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf2,0.0%
6144,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,64,0,3204.4755999999998,fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf3,0.0%
8192,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,80,0,4236.31321,fmoe_stage1_bf16_pertokenFp8_g1u1_80x128_2tg_pf2,0.0%
512,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,64,0,824.0347499999999,ck_64,0.1%
512,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.uint32,QuantType.per_Token,1,128,0,707.42506,ck_128,0.1%
