Addr,Instruction,Hitcount,Cycles,C++ Reference
0x0,; Begin ATT ASM,0,0,
0x7f4ced428600,; _Z28flash_fwd_splitkv_mla_kernelI19FlashMlaKernelTraitILi576ELi512ELi16ELi64ELi4EEDF16_fLb1EEv17FlashMlaFwdParams,0,0,
0x7f4ced428600,"s_load_dwordx4 s[24:27], s[0:1], 0x5c",32,144,
0x7f4ced428608,"s_load_dwordx8 s[16:23], s[0:1], 0x0",32,144,
0x7f4ced428610,"s_load_dwordx4 s[44:47], s[0:1], 0x20",32,144,
0x7f4ced428618,"s_load_dwordx2 s[52:53], s[0:1], 0x70",32,144,
0x7f4ced428620,s_waitcnt lgkmcnt(0),32,14212,
0x7f4ced428624,"s_ashr_i32 s41, s26, 31",32,144,
0x7f4ced428628,"s_add_i32 s5, s26, s41",32,144,
0x7f4ced42862c,"s_xor_b32 s40, s5, s41",32,144,
0x7f4ced428630,"v_cvt_f32_u32_e32 v1, s40",32,128,
0x7f4ced428634,"s_load_dwordx8 s[8:15], s[0:1], 0x38",32,144,
0x7f4ced42863c,"s_load_dwordx4 s[28:31], s[0:1], 0x78",32,144,
0x7f4ced428644,"s_load_dwordx4 s[48:51], s[0:1], 0x8c",32,144,
0x7f4ced42864c,"v_rcp_iflag_f32_e32 v1, v1",32,448,
0x7f4ced428650,"s_load_dwordx2 s[34:35], s[0:1], 0x9c",32,144,
0x7f4ced428658,"s_load_dword s26, s[0:1], 0xb0",32,144,
0x7f4ced428660,"s_ashr_i32 s42, s3, 31",32,144,
0x7f4ced428664,"v_mul_f32_e32 v1, 0x4f7ffffe, v1",32,128,
0x7f4ced42866c,"v_cvt_u32_f32_e32 v1, v1",32,128,
0x7f4ced428670,"s_add_i32 s0, s3, s42",32,144,
0x7f4ced428674,"s_xor_b32 s43, s0, s42",32,144,
0x7f4ced428678,"s_sub_i32 s0, 0, s40",32,144,
0x7f4ced42867c,"v_readfirstlane_b32 s1, v1",32,128,
0x7f4ced428680,"s_mul_i32 s0, s0, s1",32,144,
0x7f4ced428684,"s_mul_hi_u32 s0, s1, s0",32,144,
0x7f4ced428688,"s_add_i32 s1, s1, s0",32,144,
0x7f4ced42868c,"s_mul_hi_u32 s54, s43, s1",32,144,
0x7f4ced428690,"s_lshl_b32 s33, s2, 4",32,144,
0x7f4ced428694,"s_ashr_i32 s5, s4, 31",32,144,
0x7f4ced428698,"s_lshl_b64 s[0:1], s[4:5], 5",32,144,
0x7f4ced42869c,"s_add_u32 s0, s20, s0",32,144,
0x7f4ced4286a0,"s_addc_u32 s1, s21, s1",32,144,
0x7f4ced4286a4,"s_load_dwordx4 s[4:7], s[0:1], 0x0",32,144,
0x7f4ced4286ac,s_waitcnt lgkmcnt(0),32,30796,
0x7f4ced4286b0,"s_load_dword s31, s[0:1], 0x10",32,144,
0x7f4ced4286b8,"v_mov_b32_e32 v1, 16",32,128,
0x7f4ced4286bc,"v_add_u32_e32 v1, 0x90, v1",32,128,
0x7f4ced4286c4,"s_mov_b64 s[0:1], 0",32,144,
0x7f4ced4286c8,"v_mov_b32_e32 v4, 0",32,128,
0x7f4ced4286cc,"v_mov_b64_e32 v[2:3], 0x770",32,128,
0x7f4ced4286d4,"scratch_store_byte v1, v4, off",60928,251056,
0x7f4ced4286dc,"s_add_u32 s0, s0, 1",60928,274176,
0x7f4ced4286e0,"v_add_u32_e32 v1, 1, v1",60928,243712,
0x7f4ced4286e4,"s_addc_u32 s1, s1, 0",60928,274176,
0x7f4ced4286e8,"v_cmp_lt_u64_e32 vcc, s[0:1], v[2:3]",60928,243712,
0x7f4ced4286ec,s_cbranch_vccnz 65529,60928,243712,
0x7f4ced4286f0,"s_mov_b32 s36, 0",32,144,
0x7f4ced4286f4,"s_mov_b32 s37, s36",32,144,
0x7f4ced4286f8,"s_mov_b32 s38, s36",32,144,
