tile_m,tile_n,knl_name
16,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf2E
16,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf3E
32,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf2E
32,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf3E
48,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_48x128_2tg_pf2E
48,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_48x128_2tg_pf3E
64,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf2E
64,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf3E
80,128,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_80x128_2tg_pf2E
80,128,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_80x128_pf3E
96,128,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_96x128_pf2E
96,128,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_96x128_pf3E
112,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_112x128_pf2E
112,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_112x128_pf3E
128,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_128x128_pf2E
128,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_128x128_pf3E
144,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_144x128_pf2E
144,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_144x128_pf3E
160,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_160x128_pf2E
160,128,_ZN5aiter45fmoe_stage1_bf16_pertokenFp8_g1u1_160x128_pf3E
16,256,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_3tg_pf2E
16,256,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_2tg_pf3E
32,256,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x256_2tg_pf2E
32,256,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_32x256_2tg_pf3E
48,256,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_48x256_pf2E
48,256,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_48x256_pf3E
64,256,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_64x256_pf2E
64,256,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_64x256_pf3E
80,256,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf2E
80,256,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf3E
16,512,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_2tg_pf2E
16,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3E
32,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf2E
32,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf3E
48,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf2E
48,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf3E
16,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_6tg_pf2E
16,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3E
32,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf2E
32,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf3E
48,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf2E
48,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf3E
64,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_3tg_pf2E
64,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_2tg_pf3E
80,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf2E
80,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf3E
96,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_2tg_pf2E
96,64,_ZN5aiter43fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_pf3E
112,64,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_2tg_pf2E
112,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_pf3E
128,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf2E
128,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf3E
144,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf2E
144,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf3E
160,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf2E
160,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf3E
