,ctx_lens,batch_size,nhead,kv_lora_rank,qk_nope_head_dim,qk_rope_head_dim,v_head_dim,dtype,kvtype,page_size,varlen,mtp,prefill:ck_192,prefill:asm_576,decode:flops_1,decode:bytes_1,decode:err_1,decode:asm_576_1,decode:TFLOPS_1,decode:TB/s_1,decode:flops_auto,decode:bytes_auto,decode:err_auto,decode:asm_576_auto,decode:TFLOPS_auto,decode:TB/s_auto,decode:flops_2,decode:bytes_2,decode:err_2,decode:asm_576_2,decode:TFLOPS_2,decode:TB/s_2,decode:flops_3,decode:bytes_3,decode:err_3,decode:asm_576_3,decode:TFLOPS_3,decode:TB/s_3,decode:flops_4,decode:bytes_4,decode:err_4,decode:asm_576_4,decode:TFLOPS_4,decode:TB/s_4,decode:flops_5,decode:bytes_5,decode:err_5,decode:asm_576_5,decode:TFLOPS_5,decode:TB/s_5,decode:flops_6,decode:bytes_6,decode:err_6,decode:asm_576_6,decode:TFLOPS_6,decode:TB/s_6,decode:flops_7,decode:bytes_7,decode:err_7,decode:asm_576_7,decode:TFLOPS_7,decode:TB/s_7,decode:flops_8,decode:bytes_8,decode:err_8,decode:asm_576_8,decode:TFLOPS_8,decode:TB/s_8,decode:flops_9,decode:bytes_9,decode:err_9,decode:asm_576_9,decode:TFLOPS_9,decode:TB/s_9,decode:flops_10,decode:bytes_10,decode:err_10,decode:asm_576_10,decode:TFLOPS_10,decode:TB/s_10,decode:flops_11,decode:bytes_11,decode:err_11,decode:asm_576_11,decode:TFLOPS_11,decode:TB/s_11,decode:flops_12,decode:bytes_12,decode:err_12,decode:asm_576_12,decode:TFLOPS_12,decode:TB/s_12,decode:flops_13,decode:bytes_13,decode:err_13,decode:asm_576_13,decode:TFLOPS_13,decode:TB/s_13,decode:flops_14,decode:bytes_14,decode:err_14,decode:asm_576_14,decode:TFLOPS_14,decode:TB/s_14,decode:flops_15,decode:bytes_15,decode:err_15,decode:asm_576_15,decode:TFLOPS_15,decode:TB/s_15,decode:flops_16,decode:bytes_16,decode:err_16,decode:asm_576_16,decode:TFLOPS_16,decode:TB/s_16
0,21,1,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,13.12223000000009,18.077870000000058,731136,59008,0,"(14.69966000000004,)","(0.049738293266646846,)","(0.00401424250628925,)",731136,59008,0,"(13.374850000000151,)","(0.05466498689704869,)","(0.0044118625629445815,)",731136,59008,0,"(14.568050000000058,)","(0.050187636643201874,)","(0.004050507789306034,)",731136,59008,0,"(14.07124999999989,)","(0.05195956293861638,)","(0.004193515146131329,)",731136,59008,0,"(14.193650000000071,)","(0.051511485770044795,)","(0.0041573520553204926,)",731136,59008,0,"(14.112450000000063,)","(0.051807871772796124,)","(0.004181272564296046,)",731136,59008,0,"(14.571250000000036,)","(0.05017661490949631,)","(0.004049618255125666,)",731136,59008,0,"(14.404450000000052,)","(0.050757647810225126,)","(0.004096511841826643,)",731136,59008,0,"(14.520850000000028,)","(0.05035077147687626,)","(0.004063673958480384,)",731136,59008,0,"(14.620849999999972,)","(0.05000639497703631,)","(0.004035880266879156,)",731136,59008,0,"(14.613249999999935,)","(0.05003240210083337,)","(0.004037979231177203,)",731136,59008,0,"(13.945639999999894,)","(0.05242756875984218,)","(0.004231286624350008,)",731136,59008,0,"(14.474450000000015,)","(0.05051217835565422,)","(0.0040767006691100486,)",731136,59008,0,"(14.732449999999972,)","(0.0496275907944708,)","(0.004005308010548152,)",731136,59008,0,"(14.578449999999885,)","(0.05015183369974214,)","(0.004047618231019105,)",731136,59008,0,"(14.47604999999994,)","(0.050506595376501394,)","(0.004076250082032063,)",731136,59008,0,"(13.412449999999916,)","(0.054511740957096176,)","(0.004399494499513539,)"
1,21,3,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,13.61348000000006,18.32067999999992,2193408,177024,0,"(14.70045,)","(0.14920686101445874,)","(0.01204208034447925,)",2193408,177024,0,"(13.45164000000017,)","(0.16305877944993863,)","(0.013160031044541614,)",2193408,177024,0,"(13.909250000000121,)","(0.15769419630821077,)","(0.01272707011521099,)",2193408,177024,0,"(14.428049999999876,)","(0.15202387016956684,)","(0.012269433499329536,)",2193408,177024,0,"(14.482850000000035,)","(0.15144864443117168,)","(0.012223008592921945,)",2193408,177024,0,"(14.288050000000021,)","(0.15351346054919998,)","(0.012389654291523316,)",2193408,177024,0,"(14.536049999999959,)","(0.1508943626363425,)","(0.012178274015293047,)",2193408,177024,0,"(14.694050000000043,)","(0.14927184812900415,)","(0.012047325277918578,)",2193408,177024,0,"(14.682849999999926,)","(0.14938571190198163,)","(0.01205651491365783,)",2193408,177024,0,"(14.77085000000001,)","(0.14849571960990723,)","(0.011984686053950847,)",2193408,177024,0,"(14.750450000000074,)","(0.1487010904752051,)","(0.012001260978478564,)",2193408,177024,0,"(14.018850000000183,)","(0.15646133598690132,)","(0.01262756930846665,)",2193408,177024,0,"(14.132850000000035,)","(0.15519926978634846,)","(0.012525711374563485,)",2193408,177024,0,"(14.330440000000017,)","(0.15305936175023221,)","(0.012353005211284495,)",2193408,177024,0,"(14.307649999999994,)","(0.153303162993224,)","(0.012372681747177216,)",2193408,177024,0,"(14.179649999999965,)","(0.15468703388306518,)","(0.012484370206598924,)",2193408,177024,0,"(13.896849999999995,)","(0.15783490503243547,)","(0.01273842633402534,)"
2,21,5,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,13.617459999999959,19.276280000000114,3655680,295040,0,"(13.632049999999836,)","(0.2681680304869806,)","(0.021643113104779073,)",3655680,295040,0,"(14.10244999999999,)","(0.2592230428046192,)","(0.020921187453243954,)",3655680,295040,0,"(13.486039999999775,)","(0.27107141903776505,)","(0.02187743770595408,)",3655680,295040,0,"(13.816449999999968,)","(0.2645889501282897,)","(0.021354255253701254,)",3655680,295040,0,"(13.56205,)","(0.26955216947290417,)","(0.021754823201507147,)",3655680,295040,0,"(13.624050000000025,)","(0.26832549792462546,)","(0.021655821873818683,)",3655680,295040,0,"(13.8000399999999,)","(0.26490357998962516,)","(0.021379648174932982,)",3655680,295040,0,"(13.527240000000056,)","(0.2702458151108419,)","(0.02181080545624967,)",3655680,295040,0,"(14.281650000000118,)","(0.255970423585508,)","(0.020658677393718343,)",3655680,295040,0,"(13.615639999999967,)","(0.26849123507965905,)","(0.021669198069279205,)",3655680,295040,0,"(13.69444999999996,)","(0.26694609860198915,)","(0.02154449430243645,)",3655680,295040,0,"(13.183650000000034,)","(0.27728891467840777,)","(0.0223792348856348,)",3655680,295040,0,"(14.000850000000046,)","(0.2611041472482019,)","(0.021073006281761394,)",3655680,295040,0,"(14.123640000000014,)","(0.2588341249139738,)","(0.02088979894701364,)",3655680,295040,0,"(13.694049999999933,)","(0.2669538960351407,)","(0.021545123612079803,)",3655680,295040,0,"(13.966050000000141,)","(0.2617547552815551,)","(0.02112551508837481,)",3655680,295040,0,"(13.699239999999973,)","(0.266852759715138,)","(0.021536961174488556,)"
3,21,16,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,15.293089999999925,19.005479999999935,11698176,944128,0,"(14.843300000000108,)","(0.7881115385392679,)","(0.06360634090801864,)",11698176,944128,0,"(14.41725999999986,)","(0.8114007793436557,)","(0.0654859522544512,)",11698176,944128,0,"(15.642459999999955,)","(0.7478475891899377,)","(0.060356746956680904,)",11698176,944128,0,"(15.344860000000008,)","(0.7623514323362998,)","(0.061527312728822524,)",11698176,944128,0,"(15.716849999999996,)","(0.744307924297808,)","(0.06007107022081398,)",11698176,944128,0,"(15.61045999999982,)","(0.7493806076182339,)","(0.060480472708684486,)",11698176,944128,0,"(15.68644999999995,)","(0.7457503769176607,)","(0.06018748665249327,)",11698176,944128,0,"(15.610450000000055,)","(0.7493810876688346,)","(0.06048051145226414,)",11698176,944128,0,"(15.49724999999995,)","(0.7548549581377365,)","(0.06092229266482783,)",11698176,944128,0,"(15.678460000000142,)","(0.7461304235237323,)","(0.06021815918144968,)",11698176,944128,0,"(15.723649999999962,)","(0.7439860337771463,)","(0.060045091311495886,)",11698176,944128,0,"(15.810059999999922,)","(0.7399197726004871,)","(0.05971691442031243,)",11698176,944128,0,"(15.773660000000055,)","(0.7416272444061783,)","(0.0598547198304006,)",11698176,944128,0,"(15.574449999999942,)","(0.7511132656369915,)","(0.06062031082959614,)",11698176,944128,0,"(15.58205999999991,)","(0.7507464353237036,)","(0.060590704951720475,)",11698176,944128,0,"(15.413650000000034,)","(0.7589491132859495,)","(0.061252720802665035,)",11698176,944128,0,"(15.030460000000021,)","(0.7782979363239704,)","(0.06281431173763136,)"
4,21,32,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,16.095479999999995,20.437479999999958,23396352,1888256,0,"(14.858450000000047,)","(1.5746159256180776,)","(0.1270829729884338,)",23396352,1888256,0,"(14.274450000000016,)","(1.639037020690813,)","(0.13228222453404495,)",23396352,1888256,0,"(14.786450000000023,)","(1.582283239046557,)","(0.12770178102249,)",23396352,1888256,0,"(14.687649999999977,)","(1.5929268467045468,)","(0.1285607976769601,)",23396352,1888256,0,"(14.445250000000106,)","(1.619657119122191,)","(0.13071812533531688,)",23396352,1888256,0,"(14.13963999999998,)","(1.6546639094064652,)","(0.13354342826267165,)",23396352,1888256,0,"(14.392450000000045,)","(1.6255989772415347,)","(0.13119767655958464,)",23396352,1888256,0,"(14.8300499999999,)","(1.577631363346729,)","(0.12732634077430707,)",23396352,1888256,0,"(14.451649999999864,)","(1.6189398442392542,)","(0.13066023602841323,)",23396352,1888256,0,"(14.76765000000003,)","(1.5842975693492163,)","(0.12786435214810726,)",23396352,1888256,0,"(14.932459999999919,)","(1.5668116305016138,)","(0.1264531095345315,)",23396352,1888256,0,"(14.722049999999962,)","(1.5892047642821523,)","(0.1282603985178698,)",23396352,1888256,0,"(14.958849999999911,)","(1.5640475036516936,)","(0.12623002436684713,)",23396352,1888256,0,"(14.885250000000015,)","(1.5717809240691274,)","(0.12685416771636338,)",23396352,1888256,0,"(14.800449999999909,)","(1.580786530139296,)","(0.127580985713273,)",23396352,1888256,0,"(14.651649999999991,)","(1.596840765374549,)","(0.1288766794183591,)",23396352,1888256,0,"(14.131249999999964,)","(1.6556463157894779,)","(0.13362271561256114,)"
5,21,64,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,30.10872000000006,24.413100000000014,46792704,3776512,0,"(14.235659999999989,)","(3.2870062926481833,)","(0.26528534679811144,)",46792704,3776512,0,"(14.528839999999946,)","(3.220677218552904,)","(0.25993210744973544,)",46792704,3776512,0,"(15.063650000000234,)","(3.106332396198748,)","(0.2507036475223429,)",46792704,3776512,0,"(14.838849999999965,)","(3.1533915364061307,)","(0.2545016628647105,)",46792704,3776512,0,"(14.47684999999985,)","(3.2322434783810348,)","(0.2608655888539316,)",46792704,3776512,0,"(14.752049999999945,)","(3.171945865150957,)","(0.255999132323983,)",46792704,3776512,0,"(14.856049999999977,)","(3.149740610727621,)","(0.25420700657308004,)",46792704,3776512,0,"(14.743249999999934,)","(3.173839146728178,)","(0.2561519339358701,)",46792704,3776512,0,"(14.82005000000001,)","(3.1573917766809134,)","(0.254824511388288,)",46792704,3776512,0,"(14.737249999999895,)","(3.175131316901073,)","(0.2562562214795859,)",46792704,3776512,0,"(14.51244999999999,)","(3.2243145712819015,)","(0.2602256683054896,)",46792704,3776512,0,"(14.821650000000027,)","(3.1570509356245706,)","(0.2547970030327253,)",46792704,3776512,0,"(14.588850000000038,)","(3.20742923534068,)","(0.2588628987205976,)",46792704,3776512,0,"(14.580449999999855,)","(3.2092770799255486,)","(0.25901203323628813,)",46792704,3776512,0,"(14.872849999999945,)","(3.1461827423795823,)","(0.2539198606857471,)",46792704,3776512,0,"(14.558850000000039,)","(3.214038471445195,)","(0.2593963122087246,)",46792704,3776512,0,"(14.744049999999952,)","(3.173666936832156,)","(0.25613803534307145,)"
6,21,128,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,57.138880000000015,40.31556000000006,93585408,7553024,0,"(15.530849999999882,)","(6.025775021972443,)","(0.4863239294694146,)",93585408,7553024,0,"(14.560049999999956,)","(6.427547158148515,)","(0.5187498669304036,)",93585408,7553024,0,"(14.876850000000031,)","(6.290673630506444,)","(0.5077031764116721,)",93585408,7553024,0,"(14.761260000000057,)","(6.3399335829055,)","(0.5116788133262317,)",93585408,7553024,0,"(14.346050000000014,)","(6.523426866628786,)","(0.5264880576883527,)",93585408,7553024,0,"(14.603639999999922,)","(6.408361750905973,)","(0.5172014648402755,)",93585408,7553024,0,"(14.580460000000148,)","(6.418549757689336,)","(0.5180237111860616,)",93585408,7553024,0,"(14.626030000000174,)","(6.398551623372773,)","(0.5164097161020393,)",93585408,7553024,0,"(14.761660000000283,)","(6.339761788308239,)","(0.5116649482510677,)",93585408,7553024,0,"(15.010860000000012,)","(6.234513412289497,)","(0.5031706377915719,)",93585408,7553024,0,"(15.226449999999986,)","(6.146239471446075,)","(0.49604628787406174,)",93585408,7553024,0,"(15.362860000000074,)","(6.09166574452931,)","(0.49164179065616453,)",93585408,7553024,0,"(15.289249999999939,)","(6.120994031754361,)","(0.49400879703059536,)",93585408,7553024,0,"(15.852050000000071,)","(5.903678577849526,)","(0.47646985721089485,)",93585408,7553024,0,"(15.547250000000112,)","(6.019418739648447,)","(0.48581093119361596,)",93585408,7553024,0,"(15.483250000000044,)","(6.044300001614631,)","(0.4878190302423573,)",93585408,7553024,0,"(15.446459999999897,)","(6.058696167277203,)","(0.4889809056573513,)"
7,21,256,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,109.97468000000019,67.54048000000003,187170816,15106048,0,"(18.096480000000028,)","(10.342940505556866,)","(0.8347506255360145,)",187170816,15106048,0,"(17.599659999999894,)","(10.634910901687938,)","(0.8583147628988339,)",187170816,15106048,0,"(18.22245999999992,)","(10.271435141029302,)","(0.8289796218512795,)",187170816,15106048,0,"(18.690070000000034,)","(10.014452380328144,)","(0.8082392414795649,)",187170816,15106048,0,"(19.108070000000026,)","(9.7953804858366,)","(0.7905585441125126,)",187170816,15106048,0,"(19.323269999999994,)","(9.686290984910942,)","(0.7817542268984496,)",187170816,15106048,0,"(20.1280799999999,)","(9.29899006760709,)","(0.7504962221930792,)",187170816,15106048,0,"(20.284879999999994,)","(9.22710984733457,)","(0.7446949649196842,)",187170816,15106048,0,"(20.58167000000005,)","(9.09405388386849,)","(0.7339563796329436,)",187170816,15106048,0,"(21.088880000000007,)","(8.875332212995662,)","(0.7163039478625699,)",187170816,15106048,0,"(21.646079999999984,)","(8.646868901898179,)","(0.697865294778547,)",187170816,15106048,0,"(21.805279999999893,)","(8.583738250552202,)","(0.6927701914398748,)",187170816,15106048,0,"(22.183290000000124,)","(8.43746874336489,)","(0.6809651769417393,)",187170816,15106048,0,"(22.459690000000027,)","(8.33363310001161,)","(0.6725848842971556,)",187170816,15106048,0,"(23.212890000000044,)","(8.063227629131902,)","(0.6507611934575993,)",187170816,15106048,0,"(23.25487999999994,)","(8.048668322519854,)","(0.6495861513798411,)",187170816,15106048,0,"(23.932080000000113,)","(7.820917195663691,)","(0.6312049767508686,)"
8,64,1,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,13.35184999999997,21.916290000000064,2228224,108544,0,"(14.742460000000118,)","(0.15114329630197282,)","(0.007362678955886543,)",2228224,108544,0,"(13.774440000000013,)","(0.16176512438981172,)","(0.007880102566783106,)",2228224,108544,0,"(14.14604999999994,)","(0.15751563157206494,)","(0.007673096023271546,)",2228224,108544,0,"(14.10805000000004,)","(0.15793989956088855,)","(0.007693763489638873,)",2228224,108544,0,"(14.230049999999991,)","(0.15658581663451648,)","(0.007627801729438763,)",2228224,108544,0,"(14.04484000000015,)","(0.15865072154613197,)","(0.007728389928258267,)",2228224,108544,0,"(13.91083999999999,)","(0.1601789683441116,)","(0.007802835774115732,)",2228224,108544,0,"(13.697229999999836,)","(0.1626769792140474,)","(0.007924521965390178,)",2228224,108544,0,"(13.69965000000011,)","(0.16264824283831938,)","(0.007923122123557837,)",2228224,108544,0,"(13.929249999999993,)","(0.15996726313333462,)","(0.00779252292837016,)",2228224,108544,0,"(13.795240000000067,)","(0.16152122036296498,)","(0.00786822121253414,)",2228224,108544,0,"(13.782450000000098,)","(0.16167111072414442,)","(0.007875522856966593,)",2228224,108544,0,"(13.775249999999978,)","(0.16175561242082748,)","(0.007879639207999866,)",2228224,108544,0,"(13.871239999999908,)","(0.16063625169775844,)","(0.007825111525718013,)",2228224,108544,0,"(13.781640000000152,)","(0.16168061275726076,)","(0.007875985731741563,)",2228224,108544,0,"(13.87724000000011,)","(0.1605667985853082,)","(0.007821728239909315,)",2228224,108544,0,"(13.935250000000142,)","(0.1598983871835796,)","(0.007789167758023637,)"
9,64,3,16,512,128,64,128,torch.bfloat16,torch.bfloat16,1,False,1,14.11743999999997,21.603089999999995,6684672,325632,0,"(14.480050000000084,)","(0.4616470246994977,)","(0.02248832013701597,)",6684672,325632,0,"(14.441649999999935,)","(0.46287453303466225,)","(0.022548116039372332,)",6684672,325632,0,"(14.563249999999861,)","(0.45900963040530535,)","(0.02235984412819962,)",6684672,325632,0,"(13.88644000000002,)","(0.4813812611439642,)","(0.02344963864028502,)",6684672,325632,0,"(13.92524999999996,)","(0.4800396402219005,)","(0.023384283944633016,)",6684672,325632,0,"(14.158850000000111,)","(0.472119698986849,)","(0.022998477983734375,)",6684672,325632,0,"(13.884840000000132,)","(0.48143673243623525,)","(0.023452340826397487,)",6684672,325632,0,"(14.607650000000067,)","(0.4576144691308985,)","(0.022291881308766196,)",6684672,325632,0,"(13.890849999999974,)","(0.48122843454504316,)","(0.02344219396221258,)",6684672,325632,0,"(14.217639999999955,)","(0.47016748208563597,)","(0.022903379182480428,)",6684672,325632,0,"(13.735640000000004,)","(0.486666220139724,)","(0.02370708609136523,)",6684672,325632,0,"(13.846849999999904,)","(0.48275759468760376,)","(0.023516684300039524,)",6684672,325632,0,"(14.378049999999876,)","(0.4649220165460586,)","(0.02264785558542381,)",6684672,325632,0,"(13.810450000000019,)","(0.484029991781585,)","(0.023578666879066183,)",6684672,325632,0,"(14.158850000000076,)","(0.4721196989868502,)","(0.02299847798373443,)",6684672,325632,0,"(13.86324999999997,)","(0.48218650027951704,)","(0.023488864443763236,)",6684672,325632,0,"(14.026449999999931,)","(0.47657618285453784,)","(0.02321556773096554,)"
