Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_ADD_F64,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_BUFFER_COALESCED_WRITE_CYCLES_sum,TD_COALESCABLE_WAVEFRONT_sum,TCP_TOTAL_ATOMIC_WITH_RET_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_TOTAL_WRITEBACK_INVALIDATES_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCC_EA0_ATOMIC[0],TCC_EA0_RDREQ_LEVEL[0],TCC_EA0_WRREQ_LEVEL[0],TCC_EA0_ATOMIC_LEVEL[0],TCC_EA0_ATOMIC[1],TCC_EA0_RDREQ_LEVEL[1],TCC_EA0_WRREQ_LEVEL[1],TCC_EA0_ATOMIC_LEVEL[1],TCC_EA0_ATOMIC[2],TCC_EA0_RDREQ_LEVEL[2],TCC_EA0_WRREQ_LEVEL[2],TCC_EA0_ATOMIC_LEVEL[2],TCC_EA0_ATOMIC[3],TCC_EA0_RDREQ_LEVEL[3],TCC_EA0_WRREQ_LEVEL[3],TCC_EA0_ATOMIC_LEVEL[3],TCC_EA0_ATOMIC[4],TCC_EA0_RDREQ_LEVEL[4],TCC_EA0_WRREQ_LEVEL[4],TCC_EA0_ATOMIC_LEVEL[4],TCC_EA0_ATOMIC[5],TCC_EA0_RDREQ_LEVEL[5],TCC_EA0_WRREQ_LEVEL[5],TCC_EA0_ATOMIC_LEVEL[5],TCC_EA0_ATOMIC[6],TCC_EA0_RDREQ_LEVEL[6],TCC_EA0_WRREQ_LEVEL[6],TCC_EA0_ATOMIC_LEVEL[6],TCC_EA0_ATOMIC[7],TCC_EA0_RDREQ_LEVEL[7],TCC_EA0_WRREQ_LEVEL[7],TCC_EA0_ATOMIC_LEVEL[7],TCC_EA0_ATOMIC[8],TCC_EA0_RDREQ_LEVEL[8],TCC_EA0_WRREQ_LEVEL[8],TCC_EA0_ATOMIC_LEVEL[8],TCC_EA0_ATOMIC[9],TCC_EA0_RDREQ_LEVEL[9],TCC_EA0_WRREQ_LEVEL[9],TCC_EA0_ATOMIC_LEVEL[9],TCC_EA0_ATOMIC[10],TCC_EA0_RDREQ_LEVEL[10],TCC_EA0_WRREQ_LEVEL[10],TCC_EA0_ATOMIC_LEVEL[10],TCC_EA0_ATOMIC[11],TCC_EA0_RDREQ_LEVEL[11],TCC_EA0_WRREQ_LEVEL[11],TCC_EA0_ATOMIC_LEVEL[11],TCC_EA0_ATOMIC[12],TCC_EA0_RDREQ_LEVEL[12],TCC_EA0_WRREQ_LEVEL[12],TCC_EA0_ATOMIC_LEVEL[12],TCC_EA0_ATOMIC[13],TCC_EA0_RDREQ_LEVEL[13],TCC_EA0_WRREQ_LEVEL[13],TCC_EA0_ATOMIC_LEVEL[13],TCC_EA0_ATOMIC[14],TCC_EA0_RDREQ_LEVEL[14],TCC_EA0_WRREQ_LEVEL[14],TCC_EA0_ATOMIC_LEVEL[14],TCC_EA0_ATOMIC[15],TCC_EA0_RDREQ_LEVEL[15],TCC_EA0_WRREQ_LEVEL[15],TCC_EA0_ATOMIC_LEVEL[15],CPC_UTCL1_STALL_ON_TRANSLATION,CPC_CPC_UTCL2IU_BUSY,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,SPI_RA_RES_STALL_CSN,SPI_RA_TMP_STALL_CSN,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",2,0,0,441197,441197,256,256,0,0,12,4,32,64,0x0,0x7f4b040ab100,4,104,8480,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,350,0,0,0,989,0,0,0,367,0,0,0,1069,480,0,0,1533,441,0,3818,3804,0,0,0,3806400187871874,3806496773226489,3806496773230209,3806400295772431
1,"void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}) [clone .kd]",2,0,130,441197,441197,512,512,0,0,12,4,32,64,0x0,0x7f2aea6659c0,14,182,15248,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,1.0,40.0,0,391,0,0,0,418,0,0,0,387,0,0,0,386,0,0,0,438,0,0,0,418,0,0,0,326,0,0,0,398,0,0,0,402,628,0,0,342,657,0,0,288,655,0,0,893,673,0,0,1171,0,0,0,1122,0,0,0,2506,0,0,0,2341,0,0,352,340,0,0,0,3806400317159269,3806496794270862,3806496794275102,3806400317920914
2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#2}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#2}>, unsigned int, long, 4, 4>) [clone .kd]",2,0,131,441197,441197,128,128,1536,80,36,4,80,64,0x0,0x7f2aea22e7c0,29,288,22176,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,801.0,0,3400,908,0,0,3246,927,0,0,3013,1642,0,0,2335,1680,0,0,740,1767,0,0,706,1593,0,0,739,1770,0,0,1029,1711,0,0,1086,0,0,0,1143,0,0,0,1845,646,0,0,2035,648,0,0,736,658,0,0,701,648,0,0,1943,691,0,0,1663,667,0,870,850,1007,0,0,3806400325838396,3806496801134479,3806496801141359,3806400326768661
3,"void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}) [clone .kd]",2,0,134,441197,441197,512,512,0,0,12,4,32,64,0x0,0x7f2aea665fc0,14,184,14064,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,1.0,16.0,0,1509,0,0,0,872,0,0,0,673,0,0,0,702,0,0,0,0,720,0,0,174,689,0,0,1500,0,0,0,1611,0,0,0,1318,0,0,0,695,0,0,0,682,0,0,0,705,0,0,0,705,0,0,0,712,0,0,0,454,0,0,0,604,0,0,3006,2998,0,0,0,3806400331521777,3806496805833378,3806496805837618,3806400332224733
4,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>) [clone .kd]",2,0,135,441197,441197,128,128,1024,48,28,4,80,64,0x0,0x7f4af7e97880,30,270,22208,21,1,0,0,0,0.0,0.0,11.0,0.0,0.0,1.0,297.0,0,0,0,0,0,701,0,0,0,691,0,0,0,1400,0,0,0,1600,688,0,0,1795,701,0,0,1961,720,0,0,1864,709,0,0,464,0,0,0,504,0,0,0,572,635,0,0,1124,0,0,0,2420,375,0,0,2069,376,0,0,1186,1128,0,0,534,395,0,609,595,78,0,0,3806400336066247,3806496809433072,3806496809440432,3806400336777041
5,"void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int)#1}) [clone .kd]",2,0,136,441197,441197,512,512,0,0,12,4,32,64,0x0,0x7f2aea6657c0,11,198,15080,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0,1405,0,0,0,759,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,1041,0,0,0,820,0,0,0,1864,0,0,0,1371,0,0,0,1489,0,0,0,1078,0,0,0,1034,193,0,0,1373,0,0,0,1289,0,0,0,1285,0,0,4045,4031,579,0,0,3806400336816262,3806496809486712,3806496809491232,3806400337497331
6,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<int, at::native::func_wrapper_t<int, at::native::MaxNanFunctor<int> >, unsigned int, int, 4, 4> >(at::native::ReduceOp<int, at::native::func_wrapper_t<int, at::native::MaxNanFunctor<int> >, unsigned int, int, 4, 4>) [clone .kd]",2,0,139,441197,441197,128,128,1024,48,28,4,80,64,0x0,0x7f2ae6c18080,29,238,19304,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,1.0,297.0,0,661,0,0,0,684,373,0,0,388,0,0,0,387,0,0,0,1108,621,0,0,1868,1096,0,0,1696,427,0,0,2672,401,0,0,1743,0,0,0,1861,0,0,0,2227,0,0,0,2464,0,0,0,1879,677,0,0,2463,696,0,0,2377,712,0,0,1491,699,0,607,593,76,0,0,3806400342195029,3806496813773329,3806496813779969,3806400342893626
7,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,142,441197,441197,163840,256,0,0,56,0,48,64,0x0,0x7f4b0403be80,17920,115052,9207136,20480,82432,61440,41472,0,0.0,0.0,18432.0,0.0,0.0,80.0,73728.0,0,2743,393383,0,0,3286,407053,0,0,3748,410790,0,0,3340,417125,0,0,2967,414247,0,0,1162,411088,0,0,3215,442174,0,0,3105,424049,0,0,2699,390704,0,0,3194,407868,0,0,3449,399451,0,0,3208,409763,0,0,2941,409784,0,0,1753,406142,0,0,3134,428673,0,0,3027,410863,0,607,593,0,0,0,3806400345159630,3806496815506976,3806496815520936,3806400345847803
8,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*) [clone .kd]",2,0,143,441197,441197,69632,128,0,0,4,4,16,64,0x0,0x7f4af7e5ab00,3264,26538,2135800,0,0,0,0,0,0.0,0.0,1088.0,0.0,0.0,80.0,4352.0,0,2034,49061,0,0,434,50825,0,0,0,51876,0,0,174,52629,0,0,853,45896,0,0,1664,45624,0,0,2075,48846,0,0,2186,46868,0,0,1319,43154,0,0,294,45165,0,0,0,44081,0,0,103,45271,0,0,549,51002,0,0,1079,50446,0,0,1363,52325,0,0,1563,49989,0,2013,1999,76,0,0,3806400348390700,3806496817973976,3806496817976816,3806400349072867
9,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,144,441197,441197,163840,256,0,0,56,0,48,64,0x0,0x7f4b0403be80,17920,101782,8117336,10035200,40135168,30105600,20064768,0,0.0,0.0,10027008.0,0.0,0.0,80.0,40108032.0,0,9486,201920695,0,0,9239,208643115,0,0,9190,210434380,0,0,8075,213152659,0,0,7456,214672986,0,0,5633,212645029,0,0,8121,227972752,0,0,6968,219522512,0,0,10120,201859823,0,0,10632,210396465,0,0,10477,206422355,0,0,10409,210810188,0,0,7257,211592753,0,0,7668,209559229,0,0,9230,221046847,0,0,8596,212576037,0,4464,4450,77,0,0,3806400349223281,3806496818137336,3806496822578114,3806400353926205
